,Book Name,Author,Rating,Number of Reviews,Price,Description,hours,minutes,Genres Extracted
2090,War and Remembrance,Herman Wouk,4.8,765,1338,War and Remembrance - No description available.,10,10,"['Cold War', 'War & Military Fiction', 'Military & War Biographies']"
2097,Story Genius: How to Use Brain Science to Go Beyond Outlining and Write a Riveting Novel (Before You Waste Three Years Writing 327 Pages That Go Nowhere),Lisa Cron,4.6,505,1005,"Following on the heels of Lisa Cron's breakout first book, Wired for Story, this writing guide reveals how to use cognitive storytelling strategies to build a scene-by-scene blueprint for a riveting story.",9,36,"['Authorship', 'Words', 'Writing Guides']"
2098,The Future of Capitalism,Paul Collier,4.5,152,683,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
2099,Thrawn (Star Wars),Timothy Zahn,4.7,2309,1256,"In this definitive novel, listeners will follow Thrawn's rise to power - uncovering the events that created one of the most iconic villains in Star Wars history.",16,56,"['Space Opera Science Fiction', 'Adventure Science Fiction', 'Science Fiction']"
2100,Sula,Toni Morrison,4.5,782,753,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
2101,Anahad Mein Bisram,OSHO,4.489294063,,502,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
2102,The Enchiridion & Discourses,Haward B. Morse,4.489294063,,998,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
2103,The Tibetan Book of Living and Dying,Sogyal Rinpoche,4.6,1043,410,"Sogyal Rinpoche presents a radically new vision of living and dying. He shows how to go beyond our fear and denial of death to discover what it is in us that survives death and is changeless. Rinpoche explains simple yet powerful practices that listeners can use to transform their lives, prepare for death, and help the dying.",6,7,"['Sociology of Death & Dying', 'Tibetan Buddhism', 'Eastern Philosophy']"
2104,The Tibetan Book of Living and Dying,Sogyal Rinpoche,4.6,1043,410,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",2,30,"['Cooking', 'Plays']"
2105,Letting Go: The Pathway of Surrender,David R. Hawkins MD. PHD.,4.7,2150,1172,"Letting Go describes a simple and effective means by which to let go of the obstacles to enlightenment and become free of negativity. During the many decades of the author's clinical psychiatric practice, the primary aim was to seek the most effective ways to relieve human suffering in all of its many forms. The inner mechanism of surrender was found to be of great practical benefit and is described in this book.",12,23,"['Philosophy Movements', 'Consciousness & Thought', 'Personal Success']"
2106,The Art of War [Blackstone Version],Sun-Tzu,4.489294063,,1003,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
2108,The Girl Who Drank the Moon,Kelly Barnhill,4.7,3522,645,"Every year, the people of the Protectorate leave a baby as an offering to the witch who lives in the forest. But Xan is in fact a good witch who rescues the children.",9,31,"['Fairy Tales', 'Family Life Fiction for Children', 'Audiobooks on Family Life for Children']"
2110,Time Management: The Brian Tracy Success Library,Brian Tracy,4.6,159,351,"More than any other practice in your career, your ability to manage time will determine your success or failure. It’s a simple equation. The better you use your time, the more you will accomplish, and the greater your rewards will be.",2,4,"['Time Management & Productivity', 'Forecasting & Strategic Planning', 'Business Careers']"
2111,A Woman First: First Woman: A Memoir,Selina Meyer,4.6,81,879,"The long-awaited memoir of her tumultuous year in office, A Woman First: First Woman is an intimate first-person account of the public and private lives of Selina Meyer, America's first woman president. Known and beloved throughout the world as a vocal and fearless advocate for adult literacy, fighting AIDS, our military families, and as a stalwart champion of the oppressed, especially the long-suffering people of Tibet, President Meyer is considered one of the world's most notable people. In her own words, she reveals the innermost workings of the world's most powerful office, sharing previous secret details along with her own personal feelings about the historic events of her time.",6,0,"['Humorous Fiction', 'Contemporary Fiction']"
2112,Why 'A' Students Work for 'C' Students and 'B' Students Work for the Government: Rich Dad's Guide to Financial Education for Parents,Robert T. Kiyosaki,4.2,62,1005,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
2113,"Sacred Verses, Healing Sounds, Volumes I and II: The Bhagavad Gita and Hymns of the Rig Veda",Deepak Chopra,4.489294063,,468,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",2,30,['Plays']
2114,Homegoing,Yaa Gyasi,4.6,3266,820,"Penguin presents the unabridged downloadable audiobook edition of Homegoing by Yaa Gyasi, narrated by Dominic Hoffman.",13,11,"['African American Literature', 'Historical Fiction', 'Literary Fiction']"
2115,"The Seven Principles for Making Marriage Work: A Practical Guide from the Country’s Foremost Relationship Expert, Revised and Updated",John M. Gottman PhD,4.489294063,,703,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
2116,Demigods and Magicians: Three Stories from the World of Percy Jackson and the Kane Chronicles,Rick Riordan,4.7,556,615,"Puffin presents the unabridged downloadable audiobook addition of Demigods and Magicians, written and read by Rick Riordan.",4,32,"['Fantasy & Magic for Children', 'Literature & Fiction for Children', ""Children's Fantasy""]"
2118,On Dublin Street,Samantha Young,4.5,2833,752,"Penguin presents the unabridged, downloadable audiobook edition of Samantha Young’s On Dublin Street, the hottest new romance best seller.",10,45,"['Contemporary Romance', 'Romance']"
2119,On Dublin Street,Samantha Young,4.5,2833,752,"Penguin presents the unabridged, downloadable audiobook edition of Samantha Young’s On Dublin Street, the hottest new romance best seller.",10,45,"['Contemporary Romance', 'Romance']"
2121,Labyrinth,Kate Mosse,4.3,699,323,Labyrinth - No description available.,2,30,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
2122,Money and Banking: What Everyone Should Know,Michael K. Salemi,4.489294063,,1405,Money and Banking: What Everyone Should Know - No description available.,10,10,"['Money Management', 'Banks & Banking', 'Money & Finance']"
2123,Courage and Conviction: An Autobiography,General V. K. Singh,4.5,95,1003,Courage and Conviction: An Autobiography - No description available.,10,10,['Biographies']
2124,Forgiveness: How to Make Peace with Your Past and Get on with Your Life,Dr. Sidney B. Simon,4.5,97,1003,Forgiveness: How to Make Peace with Your Past and Get on with Your Life - No description available.,10,10,"['Family Life Fiction', 'Family Life Fiction for Children', 'City Life Fiction']"
2125,"The Classic Tales Podcast, Season Five",Agatha Christie,4.489294063,,820,"Mystery. Adventure. Horror. Romance. You can get a healthy mix of it all in The Classic Tales Podcast, Season Five. An anthology of all of the stories released through the podcast during 2011. Over 36 hours total!",36,12,"['Caribbean & Latin American Literature', 'English', 'Poetry']"
2126,"Eat Real to Heal: Using Food as Medicine to Reverse Chronic Diseases from Diabetes, Arthritis, Cancer and More",Nicolette Richer,4.5,79,586,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
2127,Aamool Kranti Ki Chunauti [Radical Revolution Is the Key Challenge],J. Krishnamurti,4.489294063,,668,"The Urgency of Change Krishnamurthy ki sarvadhik chunautipurva pustak hai, jaisa ki 1971 mein London se prakashit iske mool angrezi sankaran ke mukhpristh par ingit kiya gaya tha. Jeevan se jude vividh vishyon par iss pustak mein bebaaki ke saath prasn-darr pooche gaye hain aur Krishnamurthy ne badi baariki se unki padhtaal ki hai. Ve uttar dekar prasn ko nipta nahin dete, balki iss sah-sanvaad mein unn prasnon ke naye, undekhe pehluyon ko ujaagar karte chalet hain, aur saath hee pooch bhi liya karte hain ki saath-saath ki jaa rahi iss parakj ke dawraan prasnkarta ke antarjagat mein ghatit kya ho raha hai.",5,20,['Art']
2128,Murder in the City: Twelve Incredibe Case Files of the Kolkata Police,Supratim Sarkar,4.4,57,668,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
2129,The One You Cannot Have,Preeti Shenoy,4.3,582,668,"How long does it take to heal a broken heart? Can you ever forget that one perfect relationship you had? Anjali knows who she wants - she wants Aman. Aman, too, knows who he wants - he wants Shruti.",8,27,"['Indian Literature', 'Contemporary Romance', 'Anthologies']"
2130,Damn Right: Behind the Scenes with Berkshire Hathaway Billionaire Charlie Munger (Revised),Janet Lowe,4.4,69,703,A must-listen biography from the author of the best-selling Warren Buffett Speaks.,13,25,"['Biographies of Business Leaders', 'Investing & Trading', 'Biographies & Autobiographies']"
2131,Uncle Tom's Cabin (AmazonClassics Edition),Harriet Beecher Stowe,4.5,2388,1003,"When a Kentucky farmer is forced to sell two slaves to a plantation owner, it becomes a turning point in the lives of both slaves. For Eliza, it's one of escape - a harrowing flight north with her young son. For Uncle Tom, sent down the Mississippi River, it's a more certain fate, as he struggles to survive against the brutal exploitation of his traders.",18,29,"['Classic Literature', 'Literary Fiction', 'Classic Fiction']"
